candidate_id,page,frame_bbox,symbol_bbox,num_cells,top1_class,top1_score,top2_class,top2_score,margin,decision_policy,catalog_complete,referenced_datums,unresolved_fields,human_is_real_gdt,human_true_characteristic,human_notes
GDT-V2-P01-001,1,"[1277.673, 44.509, 1288.8, 52.691]","[1277.673, 44.509, 1283.236, 52.691]",2,parallelism,0.377465,cylindricity,0.332904,0.044561,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-002,1,"[1300.909, 44.509, 1309.745, 52.691]","[1300.909, 44.509, 1305.491, 52.691]",2,circular_runout,0.432145,perpendicularity,0.270146,0.161999,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-003,1,"[1329.055, 44.509, 1338.218, 52.691]","[1329.055, 44.509, 1332.982, 52.691]",2,circular_runout,0.619786,position,0.398449,0.221337,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-004,1,"[1357.527, 44.509, 1373.564, 52.691]","[1357.527, 44.509, 1362.764, 52.691]",3,cylindricity,0.345828,flatness,0.342170,0.003658,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-005,1,"[1385.673, 44.509, 1407.6, 52.691]","[1385.673, 46.473, 1388.945, 52.364]",5,perpendicularity,0.319361,cylindricity,0.258969,0.060392,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-006,1,"[1432.8, 44.509, 1441.309, 52.691]","[1432.8, 44.836, 1435.745, 51.382]",2,position,0.480250,circular_runout,0.422600,0.057649,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-007,1,"[1448.509, 44.509, 1458.655, 52.364]","[1448.509, 44.836, 1452.764, 52.364]",2,parallelism,0.505747,total_runout,0.427372,0.078375,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-008,1,"[1522.8, 44.509, 1532.291, 52.364]","[1522.8, 44.509, 1526.4, 51.382]",2,circular_runout,0.549868,position,0.422638,0.12723,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-009,1,"[1568.945, 44.509, 1577.127, 52.691]","[1568.945, 44.836, 1571.891, 51.382]",2,position,0.480676,circular_runout,0.426172,0.054503,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-010,1,"[1590.873, 44.509, 1600.036, 51.382]","[1590.873, 44.836, 1594.473, 51.382]",2,circular_runout,0.564357,position,0.393589,0.170768,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-011,1,"[1500.873, 44.836, 1509.055, 52.691]","[1500.873, 44.836, 1503.818, 51.382]",2,position,0.476045,circular_runout,0.408491,0.067553,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-012,1,"[1124.836, 57.927, 1152.327, 72.327]","[1124.836, 57.927, 1136.945, 72.327]",2,concentricity_coaxiality,0.339628,circularity,0.326844,0.012785,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-013,1,"[1047.214, 58.006, 1136.891, 71.127]","[1047.214, 58.006, 1070.739, 71.127]",3,perpendicularity,0.662475,position,0.384803,0.277672,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-014,1,"[1093.815, 89.883, 1156.685, 101.744]","[1093.815, 89.883, 1116.823, 101.744]",3,perpendicularity,0.639054,position,0.436489,0.202565,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-015,1,"[1093.418, 90.327, 1116.982, 104.4]","[1093.418, 90.327, 1104.545, 104.4]",2,straightness,0.941625,symmetry,0.610749,0.330876,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-016,1,"[1104.545, 90.327, 1144.8, 104.4]","[1104.545, 90.327, 1116.982, 104.4]",2,straightness,0.849887,symmetry,0.582091,0.267795,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-017,1,"[1116.655, 90.327, 1156.582, 104.4]","[1116.655, 90.327, 1144.8, 104.4]",2,position,0.322977,concentricity_coaxiality,0.321512,0.001466,ranking_only_no_global_threshold,,,,,,
