candidate_id,page,frame_bbox,symbol_bbox,num_cells,top1_class,top1_score,top2_class,top2_score,margin,decision_policy,catalog_complete,referenced_datums,unresolved_fields,human_is_real_gdt,human_true_characteristic,human_notes
GDT-V2-P01-001,1,"[335.455, 35.673, 352.145, 43.855]","[335.455, 36.0, 338.4, 42.545]",2,position,0.468201,circular_runout,0.459551,0.00865,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-002,1,"[774.327, 41.236, 783.491, 49.418]","[774.327, 41.236, 778.255, 49.418]",2,circular_runout,0.618934,position,0.414127,0.204807,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-003,1,"[802.473, 41.236, 817.2, 49.418]","[802.473, 43.527, 805.745, 49.091]",4,cylindricity,0.265475,parallelism,0.248169,0.017306,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-004,1,"[830.945, 41.236, 846.982, 49.418]","[830.945, 41.236, 836.182, 49.418]",4,cylindricity,0.361382,flatness,0.307317,0.054064,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-005,1,"[853.527, 41.236, 875.782, 49.418]","[853.527, 43.2, 856.8, 49.091]",5,cylindricity,0.245226,perpendicularity,0.230839,0.014387,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-006,1,"[969.382, 41.236, 977.564, 49.418]","[969.382, 41.236, 972.327, 48.109]",2,position,0.412633,circular_runout,0.380595,0.032038,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-007,1,"[990.0, 41.236, 1000.8, 48.436]","[990.0, 41.564, 994.582, 48.436]",2,parallelism,0.468450,cylindricity,0.459566,0.008883,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-008,1,"[1037.455, 41.236, 1045.636, 49.418]","[1037.455, 41.236, 1040.4, 48.109]",2,position,0.404975,circular_runout,0.365736,0.039239,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-009,1,"[1058.073, 41.236, 1068.218, 48.436]","[1058.073, 41.564, 1062.982, 48.436]",2,parallelism,0.509787,cylindricity,0.487045,0.022742,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-010,1,"[2164.909, 44.836, 2284.691, 92.618]","[2164.909, 44.836, 2221.527, 75.927]",2,position,0.338554,profile,0.270629,0.067926,ranking_only_no_global_threshold,,,,,,
