candidate_id,page,frame_bbox,symbol_bbox,num_cells,top1_class,top1_score,top2_class,top2_score,margin,decision_policy,catalog_complete,referenced_datums,unresolved_fields,human_is_real_gdt,human_true_characteristic,human_notes
GDT-V2-P01-001,1,"[251.018, 52.036, 260.509, 56.618]","[251.018, 53.345, 254.945, 56.618]",2,flatness,0.389270,total_runout,0.296069,0.093201,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-002,1,"[1246.582, 59.891, 1257.055, 68.073]","[1246.582, 59.891, 1251.164, 68.073]",2,circular_runout,0.553061,position,0.406699,0.146362,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-003,1,"[1114.364, 60.218, 1124.836, 68.073]","[1114.364, 60.218, 1118.618, 68.073]",2,circular_runout,0.554048,position,0.419937,0.134111,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-004,1,"[552.109, 68.727, 562.909, 76.582]","[552.109, 68.727, 556.691, 76.582]",2,parallelism,0.398669,position,0.369819,0.02885,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-005,1,"[317.127, 80.509, 327.273, 88.364]","[317.127, 80.509, 322.036, 87.709]",2,circular_runout,0.332498,position,0.329462,0.003036,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-006,1,"[249.382, 112.909, 260.836, 118.473]","[249.382, 112.909, 255.273, 118.473]",2,cylindricity,0.236425,flatness,0.220331,0.016094,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-007,1,"[249.382, 118.473, 266.073, 124.036]","[249.382, 118.473, 255.273, 124.036]",3,angularity,-0.600000,circular_runout,-0.600000,0.0,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-008,1,"[1685.455, 119.127, 1710.982, 156.764]","[1685.455, 119.127, 1693.964, 156.764]",2,angularity,0.337050,perpendicularity,0.296071,0.04098,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-009,1,"[243.818, 124.036, 266.4, 129.927]","[243.818, 124.036, 249.382, 129.927]",4,circular_runout,0.297604,cylindricity,0.276617,0.020986,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-010,1,"[2108.945, 125.345, 2124.0, 133.527]","[2108.945, 125.345, 2111.891, 133.527]",2,angularity,-0.600000,circular_runout,-0.600000,0.0,ranking_only_no_global_threshold,,,,,,
