candidate_id,page,frame_bbox,symbol_bbox,num_cells,top1_class,top1_score,top2_class,top2_score,margin,decision_policy,catalog_complete,referenced_datums,unresolved_fields,human_is_real_gdt,human_true_characteristic,human_notes
GDT-V2-P01-001,1,"[939.273, 208.473, 950.073, 215.018]","[939.273, 208.473, 944.509, 214.691]",2,total_runout,0.447250,cylindricity,0.419778,0.027472,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-002,1,"[403.527, 249.382, 413.345, 256.909]","[403.527, 250.364, 407.127, 256.909]",2,cylindricity,0.429792,parallelism,0.392700,0.037092,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-003,1,"[94.909, 349.2, 708.873, 379.964]","[94.909, 349.2, 262.145, 379.964]",4,angularity,-0.600000,circular_runout,-0.600000,0.0,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-004,1,"[265.745, 468.327, 275.236, 476.182]","[265.745, 468.327, 270.655, 476.182]",2,parallelism,0.345213,circular_runout,0.337570,0.007643,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-005,1,"[305.345, 468.327, 320.073, 476.509]","[305.345, 468.327, 309.927, 476.182]",3,parallelism,0.401539,position,0.364869,0.03667,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-006,1,"[333.491, 468.327, 358.036, 476.182]","[333.491, 470.291, 337.091, 476.182]",3,perpendicularity,0.270341,cylindricity,0.261704,0.008637,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-007,1,"[736.691, 574.364, 746.182, 582.545]","[736.691, 574.364, 740.945, 582.545]",2,parallelism,0.410742,circular_runout,0.375054,0.035687,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-008,1,"[752.073, 586.8, 774.327, 594.982]","[752.073, 587.127, 756.982, 594.982]",4,parallelism,0.567657,cylindricity,0.413178,0.154479,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-009,1,"[837.491, 586.8, 846.982, 594.982]","[837.491, 586.8, 842.073, 594.982]",2,circular_runout,0.407543,perpendicularity,0.237158,0.170385,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-010,1,"[855.491, 586.8, 863.345, 594.655]","[855.491, 586.8, 860.073, 594.655]",2,parallelism,0.406302,circular_runout,0.401367,0.004935,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-011,1,"[900.982, 586.8, 921.6, 594.982]","[900.982, 586.8, 905.564, 594.982]",4,parallelism,0.422287,circular_runout,0.342732,0.079556,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-012,1,"[905.564, 586.8, 938.618, 594.982]","[905.564, 587.127, 909.491, 594.982]",6,circular_runout,0.603542,position,0.402624,0.200917,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-013,1,"[961.855, 586.8, 972.982, 594.982]","[961.855, 586.8, 967.418, 594.982]",2,parallelism,0.385336,cylindricity,0.348618,0.036718,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-014,1,"[980.182, 586.8, 989.673, 594.982]","[980.182, 586.8, 984.764, 594.982]",2,parallelism,0.401586,circular_runout,0.389463,0.012123,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-015,1,"[809.018, 587.127, 830.618, 594.982]","[809.018, 588.764, 812.291, 594.982]",5,perpendicularity,0.325632,cylindricity,0.273273,0.052359,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-016,1,"[877.418, 587.127, 887.891, 594.655]","[877.418, 587.455, 882.0, 594.327]",3,position,0.288939,cylindricity,0.252193,0.036746,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-017,1,"[988.691, 598.909, 1018.8, 609.709]","[988.691, 600.545, 1008.0, 609.055]",2,profile,0.384029,position,0.312203,0.071826,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-018,1,"[763.527, 600.873, 779.891, 608.727]","[763.527, 600.873, 768.764, 608.727]",3,circular_runout,0.434860,perpendicularity,0.301847,0.133013,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-019,1,"[814.909, 600.873, 830.618, 608.727]","[814.909, 600.873, 818.509, 608.727]",3,circular_runout,0.625044,position,0.439442,0.185601,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-020,1,"[843.382, 600.873, 854.182, 608.727]","[843.382, 600.873, 847.964, 608.727]",2,cylindricity,0.459343,parallelism,0.404590,0.054753,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-021,1,"[939.6, 600.873, 955.636, 608.727]","[939.6, 600.873, 944.182, 608.727]",3,circular_runout,0.421293,perpendicularity,0.256160,0.165133,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-022,1,"[974.618, 600.873, 983.782, 608.727]","[974.618, 600.873, 979.2, 608.727]",2,parallelism,0.425614,circular_runout,0.374986,0.050628,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-023,1,"[1042.036, 600.873, 1053.164, 608.727]","[1042.036, 600.873, 1047.6, 608.727]",2,cylindricity,0.368535,parallelism,0.354910,0.013625,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-024,1,"[71.673, 614.945, 119.127, 656.509]","[71.673, 615.273, 84.764, 656.509]",3,position,0.372679,symmetry,0.355903,0.016776,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-025,1,"[752.727, 615.273, 763.2, 623.455]","[752.727, 615.6, 757.309, 623.455]",2,position,0.360555,parallelism,0.306872,0.053683,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-026,1,"[780.873, 615.273, 814.582, 623.455]","[780.873, 615.6, 785.455, 623.455]",6,parallelism,0.399075,position,0.367581,0.031494,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-027,1,"[826.364, 615.273, 836.509, 623.455]","[826.364, 615.6, 829.964, 623.455]",2,circular_runout,0.586649,position,0.412552,0.174097,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-028,1,"[843.382, 615.273, 854.509, 623.455]","[843.382, 615.6, 847.964, 623.455]",2,parallelism,0.506899,cylindricity,0.445505,0.061394,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-029,1,"[922.582, 615.273, 933.055, 623.455]","[922.582, 615.6, 927.164, 623.455]",2,parallelism,0.546962,cylindricity,0.480929,0.066032,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-030,1,"[940.582, 615.273, 955.636, 623.455]","[940.582, 615.273, 945.164, 623.455]",3,parallelism,0.396132,circular_runout,0.354056,0.042076,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-031,1,"[1002.109, 615.273, 1012.255, 623.455]","[1002.109, 615.6, 1006.691, 623.455]",2,position,0.366684,parallelism,0.341188,0.025496,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-032,1,"[763.527, 615.6, 768.764, 623.455]","[763.527, 617.564, 767.127, 623.455]",2,cylindricity,0.354690,parallelism,0.280522,0.074168,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-033,1,"[860.4, 615.6, 869.564, 623.455]","[860.4, 615.6, 864.982, 623.455]",2,parallelism,0.435362,cylindricity,0.406078,0.029284,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-034,1,"[877.418, 615.6, 893.127, 623.455]","[877.418, 615.6, 881.018, 623.455]",3,circular_runout,0.625611,position,0.406894,0.218717,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-035,1,"[1041.382, 615.6, 1046.618, 623.127]","[1041.382, 617.564, 1044.655, 623.127]",2,perpendicularity,0.294583,cylindricity,0.238135,0.056448,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-036,1,"[837.491, 615.927, 842.4, 623.127]","[837.491, 617.891, 840.764, 623.127]",2,perpendicularity,0.203572,circularity,0.183504,0.020068,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-037,1,"[894.109, 615.927, 899.018, 623.127]","[894.109, 617.236, 897.382, 623.127]",2,perpendicularity,0.258349,circular_runout,0.246914,0.011434,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-038,1,"[996.218, 615.927, 1001.127, 623.127]","[996.218, 617.891, 999.491, 623.127]",2,cylindricity,0.212378,perpendicularity,0.200309,0.012068,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-039,1,"[984.764, 617.564, 993.6, 623.455]","[984.764, 617.564, 988.036, 623.455]",2,perpendicularity,0.347803,circular_runout,0.215579,0.132224,ranking_only_no_global_threshold,,,,,,
