candidate_id,page,frame_bbox,symbol_bbox,num_cells,top1_class,top1_score,top2_class,top2_score,margin,decision_policy,catalog_complete,referenced_datums,unresolved_fields,human_is_real_gdt,human_true_characteristic,human_notes
GDT-V2-P01-001,1,"[956.618, 97.2, 1006.691, 102.764]","[956.618, 97.2, 981.818, 102.764]",2,angularity,-0.600000,circular_runout,-0.600000,0.0,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-004,1,"[1097.018, 300.764, 1171.309, 314.836]","[1097.018, 300.764, 1117.636, 314.836]",3,total_runout,0.468522,parallelism,0.458735,0.009787,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-019,1,"[1465.2, 509.891, 1481.236, 518.073]","[1465.2, 509.891, 1469.782, 518.073]",3,circular_runout,0.441249,perpendicularity,0.261108,0.180141,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-023,1,"[1278.327, 522.982, 1299.927, 531.164]","[1278.327, 522.982, 1282.909, 531.164]",4,position,0.370241,parallelism,0.352296,0.017945,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-033,1,"[1454.073, 526.582, 1462.909, 530.509]","[1454.073, 526.582, 1457.345, 530.509]",2,perpendicularity,0.131177,circularity,0.129404,0.001773,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-037,1,"[1357.527, 534.436, 1379.127, 542.618]","[1357.527, 534.436, 1362.109, 542.618]",4,parallelism,0.390811,position,0.368941,0.02187,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-046,1,"[709.855, 542.291, 745.2, 556.691]","[709.855, 542.291, 732.436, 556.691]",2,cylindricity,0.575931,total_runout,0.497794,0.078137,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-048,1,"[1346.4, 545.236, 1367.673, 553.418]","[1346.4, 545.564, 1350.982, 553.418]",4,parallelism,0.369764,position,0.348213,0.021551,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-057,1,"[709.855, 556.691, 784.145, 570.764]","[709.855, 556.691, 730.145, 570.764]",3,parallelism,0.464617,total_runout,0.457743,0.006874,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-075,1,"[1398.436, 600.218, 1413.164, 608.4]","[1398.436, 600.218, 1402.691, 608.4]",3,circular_runout,0.395170,parallelism,0.393646,0.001524,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-115,1,"[1268.836, 988.364, 1654.364, 1010.618]","[1268.836, 988.364, 1342.473, 1010.618]",6,position,0.420966,profile,0.361047,0.059919,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-117,1,"[71.018, 1019.455, 93.6, 1033.527]","[71.018, 1019.455, 84.764, 1033.527]",2,circularity,0.415658,concentricity_coaxiality,0.387510,0.028147,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-124,1,"[221.891, 1045.636, 354.764, 1054.145]","[221.891, 1045.636, 326.945, 1054.145]",2,perpendicularity,0.155131,angularity,0.103783,0.051348,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-125,1,"[1535.891, 1062.655, 1654.036, 1078.691]","[1535.891, 1062.655, 1574.509, 1078.691]",3,straightness,0.538597,position,0.370900,0.167698,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-126,1,"[1194.545, 1064.945, 1207.964, 1071.491]","[1194.545, 1064.945, 1198.8, 1071.491]",3,parallelism,0.580585,cylindricity,0.446172,0.134413,ranking_only_no_global_threshold,,,,,,
