timestamp,modelo,total_tokens,prompt_tokens,completion_tokens,latencia_ms,custo_usd
2026-07-15T14:36:58.901977,gemini-2.5-flash-image,1437,784,653,9263.09,0.000255
2026-07-17T15:53:10.635040,gemini-3.5-flash,3089,2395,694,12606.77,0.000388
2026-07-17T15:55:00.398066,gemini-3.5-flash,3235,2395,840,10181.76,0.000432
2026-07-17T16:00:43.647368,gemini-3.5-flash,3223,2395,828,10927.31,0.000428
2026-07-17T16:15:21.592840,gemini-3.5-flash,3164,2395,769,13309.01,0.000410
2026-07-17T16:20:43.484750,gemini-3.5-flash,2708,2395,313,9508.29,0.000274
2026-07-17T16:22:00.546587,gemini-3.5-flash,2751,2395,356,9447.70,0.000286
2026-07-17T16:24:48.025208,gemini-3.5-flash,3202,2395,807,8131.92,0.000422
2026-07-17T16:25:41.734374,gemini-3.5-flash,3258,2395,863,10244.85,0.000439
2026-07-17T16:28:32.862770,gemini-3.5-flash,3102,2395,707,8805.42,0.000392
2026-07-20T11:05:45.042101,gemini-3.5-flash,7773,2395,678,58871.83,0.000383
2026-07-20T12:04:03.142041,gemini-3.5-flash,11263,2395,620,59059.89,0.000366
2026-07-20T12:08:35.387896,gemini-3.5-flash,7173,2395,627,27823.63,0.000368
2026-07-20T12:11:40.332182,gemini-3.5-flash,10381,2420,883,50965.65,0.000446
2026-07-20T12:14:51.522018,gemini-3.5-flash,10349,2426,719,50765.47,0.000398
2026-07-20T12:21:18.922487,gemini-3.5-flash,7698,2433,918,34119.64,0.000458
2026-07-20T12:23:32.094916,gemini-3.5-flash,5853,2433,816,24477.90,0.000427
2026-07-20T13:18:06.651819,gemini-3.5-flash,6010,2433,877,25642.77,0.000446
2026-07-20T13:20:37.986823,gemini-3.5-flash,6426,2433,1246,26255.69,0.000556
2026-07-20T13:22:40.345866,gemini-3.5-flash,5991,2433,1128,24116.95,0.000521
2026-07-20T13:23:40.511784,gemini-3.5-flash,5569,2433,1123,20424.44,0.000519
2026-07-20T13:45:37.090108,gemini-3.5-flash,5571,2504,720,21105.72,0.000404
2026-07-20T13:48:46.943379,gemini-3.5-flash,5300,2617,300,18801.01,0.000286
2026-07-20T13:59:30.385376,gemini-3.5-flash,5796,2617,381,18530.16,0.000311
2026-07-20T14:13:28.291326,gemini-3.5-flash,4971,2617,506,20404.80,0.000348
2026-07-20T14:21:04.050514,gemini-3.5-flash,5249,2617,372,18249.02,0.000308
2026-07-20T14:24:26.790229,gemini-3.5-flash,6473,2617,440,23830.32,0.000328
2026-07-20T14:26:40.529107,gemini-3.5-flash,4718,2617,299,15887.40,0.000286
2026-07-20T15:30:38.891351,gemini-3.5-flash,5552,2617,371,19840.26,0.000308
2026-07-20T15:31:33.116466,gemini-3.5-flash,5542,2617,354,17978.37,0.000302
2026-07-20T16:22:28.855603,gemini-3.5-flash,4686,2617,322,18906.18,0.000293
2026-07-20T16:43:35.441147,gemini-3.5-flash,6179,2617,465,38579.30,0.000336
2026-07-20T17:22:48.842310,gemini-3.5-flash,4667,2617,379,18640.07,0.000310
2026-07-20T17:49:35.567430,gemini-3.5-flash,5290,2617,380,20689.64,0.000310
